"id","name","industry","subindustry","address","street","house_nr","postal_code","city","state","country","phone","skype","url","logo","email"
"128","CBC Moving","Moving & Relocation Services",NULL,"5217 NE 158th Avenue, Portland, OR 97230"," NE 158th Avenue","5217","OR 97230"," Portland","Oregon","USA","(503) 953-1075",NULL,,NULL,NULL
"129","Suddath Relocation Systems of Arizona, LLC","Moving & Relocation Services","Public & Contract Warehousing","2707 E Huntington Drive, Flagstaff, AZ 86004"," E Huntington Drive","2707","AZ 86004"," Flagstaff","Arizona","USA","(928) 255-5720",NULL,,NULL,NULL
"130","Lile International Companies","Logistics Service Providers - 3PL","Moving & Relocation Services","3330 Roosevelt Blvd, Eugene, OR 97402"," Roosevelt Blvd","3330","OR 97402"," Eugene","Oregon","USA","(541) 689-6683",NULL,,NULL,NULL
"131","Lile International Companies","Logistics Service Providers - 3PL","Moving & Relocation Services","8060 SW Pfaffle Street, Suite #200, Tigard, OR 97223"," SW Pfaffle Street Suite #200","8060","OR 97223"," Tigard","Oregon","USA","(503) 726-4800",NULL,,NULL,NULL
"132","Lile International Companies","Logistics Service Providers - 3PL","Moving & Relocation Services","1957 Claxter Rd NE, Salem, OR 97303"," Claxter Rd NE","1957","OR 97303"," Salem","Oregon","USA","(503) 393-0110",NULL,,NULL,NULL
"133","Lile International Companies","Logistics Service Providers - 3PL","Moving & Relocation Services","19460 SW 118th Avenue, Tualatin, OR 97062"," SW 118th Avenue","19460","OR 97062"," Tualatin","Oregon","USA","(503) 691-0530",NULL,,NULL,NULL
"134","Suddath Relocation Systems of Arizona, LLC","Moving & Relocation Services","Public & Contract Warehousing","1717 E Rairdan Lane, Phoenix, AZ 85034"," E Rairdan Lane","1717","AZ 85034"," Phoenix","Arizona","USA","(602) 910-3054",NULL,,NULL,NULL
"135","Lile International Companies","Logistics Service Providers - 3PL","Moving & Relocation Services","606 W Reynolds Avenue, Suite #2, Centralia, WA 98531"," W Reynolds Avenue Suite #2","606","WA 98531"," Centralia","Washington","USA","(360) 807-9900",NULL,,NULL,NULL
"136","Suddath Relocation Systems of Arizona, LLC","Moving & Relocation Services","Public & Contract Warehousing","3600 E 36th Street, Tucson, AZ 85713"," E 36th Street","3600","AZ 85713"," Tucson","Arizona","USA","(520) 720-0130",NULL,,NULL,NULL
"137","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","2404 Alfred Street, Savannah, GA 31408"," Alfred Street","2404","GA 31408"," Savannah","Georgia","USA","(912) 964-0413",NULL,,NULL,NULL
"138","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","5456 Sandy Hollow Road, Rockford, IL 61109"," Sandy Hollow Road","5456","IL 61109"," Rockford","Illinois","USA","(815) 874-6866",NULL,,NULL,NULL
"139","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","813 W Sample Street, South Bend, IN 46601"," W Sample Street","813","IN 46601"," South Bend","Indiana","USA","(574) 287-2373",NULL,,NULL,NULL
"140","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","2203 Walrich Drive, Louisville, KY 40211"," Walrich Drive","2203","KY 40211"," Louisville","Kentucky","USA","(502) 778-3381",NULL,,NULL,NULL
"141","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","16125-B Business Parkway, Hagerstown, MD 21740","16125-B Business Parkway","2203","MD 21740"," Hagerstown","Maryland","USA","(301) 714-4907",NULL,,NULL,NULL
"142","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","841 Kim Drive, Mason, MI 48854"," Kim Drive","841","MI 48854"," Mason","Michigan","USA","(517) 322-3014",NULL,,NULL,NULL
"143","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","6900 Broadway Avenue, Jacksonville, FL 32254"," Broadway Avenue","6900","FL 32254"," Jacksonville","Florida","USA","(904) 786-4052",NULL,,NULL,NULL
"144","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","363 Bailey Road, El Dorado, AR 71730"," Bailey Road","363","AR 71730"," El Dorado","Arkansas","USA","(870) 862-3497",NULL,,NULL,NULL
"145","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","328-B Industrial Park Road, Harrison, AR 72601","328-B Industrial Park Road","363","AR 72601"," Harrison","Arkansas","USA","(870) 743-5221",NULL,,NULL,NULL
"146","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","1601 N Batavia Street, Orange, CA 92867"," N Batavia Street","1601","CA 92867"," Orange","California","USA","(714) 974-2485",NULL,,NULL,NULL
"147","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","1010 Woodend Road, Stratford, CT 06615"," Woodend Road","1010","CT 6615"," Stratford","Connecticut","USA","(203) 375-4623",NULL,,NULL,NULL
"148","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","3980 E Andy Devine Avenue, Kingman, AZ 86401"," E Andy Devine Avenue","3980","AZ 86401"," Kingman","Arizona","USA","(928) 757-1016",NULL,,NULL,NULL
"149","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","2321 E Broad Street, Texarkana, AR 71854"," E Broad Street","2321","AR 71854"," Texarkana","Arkansas","USA","(870) 774-4179",NULL,,NULL,NULL
"150","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","2400 Republic Blvd, Birmingham, AL 35214"," Republic Blvd","2400","AL 35214"," Birmingham","Alabama","USA","(205) 798-6606",NULL,,NULL,NULL
"151","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","63 Cemetery Road, Plainfield, CT 06374"," Cemetery Road","63","CT 6374"," Plainfield","Connecticut","USA","(860) 564-2706",NULL,,NULL,NULL
"152","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","1520 N Industrial Park Drive, Nogales, AZ 85621"," N Industrial Park Drive","1520","AZ 85621"," Nogales","Arizona","USA","(520) 281-4703",NULL,,NULL,NULL
"153","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","1701 S Elmira Avenue, Russellville, AR 72802"," S Elmira Avenue","1701","AR 72802"," Russellville","Arkansas","USA","(479) 968-7755",NULL,,NULL,NULL
"154","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","1700 W Wernsing Avenue, Effingham, IL 62401"," W Wernsing Avenue","1700","IL 62401"," Effingham","Illinois","USA","(217) 342-9897",NULL,,NULL,NULL
"155","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","220 Terminal Lane, New Haven, CT 06519"," Terminal Lane","220","CT 6519"," New Haven","Connecticut","USA","(203) 787-2046",NULL,,NULL,NULL
"156","Jordan’s Mishawaka Transfer, Inc.","Moving & Relocation Services",NULL,"1208 E 7th Street, Mishawaka, IN 46544"," E 7th Street","1208","IN 46544"," Mishawaka","Indiana","USA","(574) 259-5237",NULL,,NULL,NULL
"157","Monroe Movers, Inc.","Moving & Relocation Services",NULL,"221 Lewis Street, Fond Du Lac, WI 54935"," Lewis Street","221","WI 54935"," Fond Du Lac","Wisconsin","USA","(920) 921-9310",NULL,,NULL,NULL
"158","Penn Van & Storage Company","Moving & Relocation Services",NULL,"3210 S Standard Avenue, Santa Ana, CA 92705"," S Standard Avenue","3210","CA 92705"," Santa Ana","California","USA","(714) 549-0224",NULL,,NULL,NULL
"159","Access Relocation","Moving & Relocation Services",NULL,"2720 S Dakota 44, Rapid City, SD 57703"," S Dakota 44","2720","SD 57703"," Rapid City","South Dakota","USA","(605) 343-9550",NULL,,NULL,NULL
"160","Mullen Moving & Storage Co.","Moving & Relocation Services",NULL,"79 Broad Street, Glens Falls, NY 12801"," Broad Street","79","NY 12801"," Glens Falls","New York","USA","(518) 792-9991",NULL,,NULL,NULL
"161","Kato Moving & Storage Co.","Moving & Relocation Services",NULL,"417 Poplar Street, Mankato, MN 56001"," Poplar Street","417","MN 56001"," Mankato","Minnesota","USA","(507) 388-9329",NULL,,NULL,NULL
"162","Key City Moving & Storage","Moving & Relocation Services",NULL,"2300 Twin Valley Drive, Dubuque, IA 52003"," Twin Valley Drive","2300","IA 52003"," Dubuque","Iowa","USA","(563) 582-3237",NULL,,NULL,NULL
"163","Buehler Moving & Storage","Moving & Relocation Services",NULL,"3899 Jackson Street, Denver, CO 80205"," Jackson Street","3899","CO 80205"," Denver","Colorado","USA","(303) 388-4000",NULL,,NULL,NULL
"164","Dodson’s Moving & Storage Co., Inc.","Moving & Relocation Services",NULL,"335 Warehouse Road, Oak Ridge, TN 37830"," Warehouse Road","335","TN 37830"," Oak Ridge","Tennessee","USA","(865) 483-6336",NULL,,NULL,NULL
"165","Patterson Storage Warehouse Co.","Moving & Relocation Services",NULL,"472 Robeson Street, Fayetteville, NC 28301"," Robeson Street","472","NC 28301"," Fayetteville","North Carolina","USA","(910) 485-3156",NULL,,NULL,NULL
"166","Superior Relocation","Moving & Relocation Services",NULL,"1223 U.S. 51, Madison, MS 39110"," U.S. 51","1223","MS 39110"," Madison","Mississippi","USA","(601) 856-8514",NULL,,NULL,NULL
"167","L & L Van Lines, Inc.","Moving & Relocation Services",NULL,"2525 E 36th Circle North, Wichita, KS 67219"," E 36th Circle North","2525","KS 67219"," Wichita","Kansas","USA","(316) 838-6140",NULL,,NULL,NULL
"168","American Van & Storage Corporation","Moving & Relocation Services",NULL,"900 Interchange Boulevard, Newark, DE 19711"," Interchange Boulevard","900","DE 19711"," Newark","Delaware","USA","(302) 369-0900",NULL,,NULL,NULL
"169","Admiral Movers, Inc.","Moving & Relocation Services",NULL,"1200 Newell Pkwy, Montgomery, AL 36110"," Newell Pkwy","1200","AL 36110"," Montgomery","Alabama","USA","(334) 262-6666",NULL,,NULL,NULL
"170","Imlach Movers of San Antonio, LLC","Moving & Relocation Services",NULL,"6950 Alamo Downs Parkway, Suite #140, San Antonio, TX 78238"," Alamo Downs Parkway Suite #140","6950","TX 78238"," San Antonio","Texas","USA","(210) 520-1156",NULL,,NULL,NULL
"171","Brendamour Warehousing Distribution and Services, Inc.","Moving & Relocation Services",NULL,"2630 Glendale-Milford Road, Evendale, OH 45241"," Glendale-Milford Road","2630","OH 45241"," Evendale","Ohio","USA","(513) 860-0077",NULL,,NULL,NULL
"172","Discover Moving & Storage, Inc.","Moving & Relocation Services",NULL,"812 2nd Street S, Great Falls, MT 59405"," 2nd Street S","812","MT 59405"," Great Falls","Montana","USA","(406) 453-0970",NULL,,NULL,NULL
"173","T. Peavler Moving Systems, LLC","Moving & Relocation Services",NULL,"255 Morris Drive, Harrodsburg, KY 40330"," Morris Drive","255","KY 40330"," Harrodsburg","Kentucky","USA","(859) 734-3694",NULL,,NULL,NULL
"174","Community Moving & Storage","Moving & Relocation Services",NULL,"3965 W Pensacola Street, Tallahassee, FL 32304"," W Pensacola Street","3965","FL 32304"," Tallahassee","Florida","USA","(850) 576-1017",NULL,,NULL,NULL
"175","A Advantage Logistics","Moving & Relocation Services",NULL,"7810 S Hardy Drive, Suite #108, Tempe, AZ 85284"," S Hardy Drive Suite #108","7810","AZ 85284"," Tempe","Arizona","USA","(480) 753-9000",NULL,,NULL,NULL
"176","Mergenthaler Transfer and Storage","Moving & Relocation Services",NULL,"2875 S 1030 W, Salt Lake City, UT 84119"," S 1030 W","2875","UT 84119"," Salt Lake City","Utah","USA","(801) 975-1287",NULL,,NULL,NULL
"177","Stacey Moving & Storage","Moving & Relocation Services",NULL,"140 Cushman Rd. St. Cath., Ont. L2M 6T6","140 Cushman Rd. St. Cath.",NULL,NULL,"Ontario",,"Canada","877-563-4333",NULL,"http://www",NULL,NULL
"178","Select Van and Storage","Moving & Relocation Services",NULL,"6651 Seward Avenue, Lincoln, NE 68507"," Seward Avenue","6651","NE 68507"," Lincoln","Nebraska","USA","(402) 466-8249",NULL,,NULL,NULL
"179","Bisson Moving and Storage","Moving & Relocation Services",NULL,"85 Eisenhower Drive, Westbrook, ME 04092"," Eisenhower Drive","85","ME 4092"," Westbrook","Maine","USA","(207) 591-1000",NULL,,NULL,NULL
"180","AC White Relocations","Moving & Relocation Services",NULL,"670 Guy Paine Road, Macon, GA 31206"," Guy Paine Road","670","GA 31206"," Macon","Georgia","USA","(478) 781-9875",NULL,,NULL,NULL
"181","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","495 N Graham Street, Bowling Green, KY 42101"," N Graham Street","495","KY 42101"," Bowling Green","Kentucky","USA","(270) 781-1643",NULL,,NULL,NULL
"182","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","2406 S 30th Street, Lafayette, IN 47905"," S 30th Street","2406","IN 47905"," Lafayette","Indiana","USA","(765) 477-1422",NULL,,NULL,NULL
"183","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","4810 Williamsburg Road, Hurlock, MD 21643"," Williamsburg Road","4810","MD 21643"," Hurlock","Maryland","USA","(410) 943-0052",NULL,,NULL,NULL
"184","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","4550 Laredo Avenue, Bldg #2, Fort Myers, FL 33905"," Laredo Avenue Bldg #2","4550","FL 33905"," Fort Myers","Florida","USA","(239) 226-9670",NULL,,NULL,NULL
"185","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","3735 Franklin Street, Kalamazoo, MI 49001"," Franklin Street","3735","MI 49001"," Kalamazoo","Michigan","USA","(269) 381-5313",NULL,,NULL,NULL
"186","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","711 Guy Paine Road, Macon, GA 31206"," Guy Paine Road","711","GA 31206"," Macon","Georgia","USA","(478) 788-6424",NULL,,NULL,NULL
"187","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","1900 N 24th Street, Quincy, IL 62301"," N 24th Street","1900","IL 62301"," Quincy","Illinois","USA","(217) 223-9530",NULL,,NULL,NULL
"188","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","365 11th Avenue, Jasper, IN 47546"," 11th Avenue","365","IN 47546"," Jasper","Indiana","USA","(812) 482-4440",NULL,,NULL,NULL
"189","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","837 Commerce Dr NE, Kalkaska, MI 49646"," Commerce Dr NE","837","MI 49646"," Kalkaska","Michigan","USA","(231) 258-8499",NULL,,NULL,NULL
"190","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","1717 S Colorado Street, Wichita, KS 67209"," S Colorado Street","1717","KS 67209"," Wichita","Kansas","USA","(316) 943-1241",NULL,,NULL,NULL
"191","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","6720 Washington Boulevard, Elkridge, MD 21075"," Washington Boulevard","6720","MD 21075"," Elkridge","Maryland","USA","(410) 796-8800",NULL,,NULL,NULL
"192","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","627 Uvalda Highway, Hazlehurst, GA 31539"," Uvalda Highway","627","GA 31539"," Hazlehurst","Georgia","USA","(912) 375-4222",NULL,,NULL,NULL
"193","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","825 Commerce Drive, South Elgin, IL 60177"," Commerce Drive","825","IL 60177"," South Elgin","Illinois","USA","(847) 697-2923",NULL,,NULL,NULL
"194","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","1260 Terminal Road, Indianapolis, IN 46217"," Terminal Road","1260","IN 46217"," Indianapolis","Indiana","USA","(317) 788-1591",NULL,,NULL,NULL
"195","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","505 NW Lyman Road, Topeka, KS 66608"," NW Lyman Road","505","KS 66608"," Topeka","Kansas","USA","(785) 357-4486",NULL,,NULL,NULL
"196","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","356 Riverside Industrial Parkway, Portland, ME 04103"," Riverside Industrial Parkway","356","ME 4103"," Portland","Maine","USA","(207) 878-2455",NULL,,NULL,NULL
"197","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","2690 Courier Drive NW, Walker, MI 49534"," Courier Drive NW","2690","MI 49534"," Walker","Michigan","USA","(616) 791-9455",NULL,,NULL,NULL
"198","Klavuhn Moving & Storage Co., Inc.","Moving & Relocation Services",NULL,"19 E Clement Street, Cumberland, MD 21502"," E Clement Street","19","MD 21502"," Cumberland","Maryland","USA","(301) 777-7266",NULL,,NULL,NULL
"199","Budget Movers","Moving & Relocation Services",NULL,"2340 W Holly Street, Phoenix, AZ 85009"," W Holly Street","2340","AZ 85009"," Phoenix","Arizona","USA","(602) 242-4391",NULL,,NULL,NULL
"200","Hawkeye Movers, Inc.","Moving & Relocation Services",NULL,"11375 190th Street, Davenport, IA 52804"," 190th Street","11375","IA 52804"," Davenport","Iowa","USA","(563) 386-7565",NULL,,NULL,NULL
"201","Horizon Moving Systems, Inc.","Moving & Relocation Services",NULL,"2707 E Huntington Drive, Flagstaff, AZ 86004"," E Huntington Drive","2707","AZ 86004"," Flagstaff","Arizona","USA","(928) 774-1436",NULL,,NULL,NULL
"202","Kloke Group","Moving & Relocation Services",NULL,"1855 Boulevard West, Richmond, VA 23230"," Boulevard West","1855","VA 23230"," Richmond","Virginia","USA","(804) 353-0212",NULL,,NULL,NULL
"203","diggins & ROSE Moving Systems","Moving & Relocation Services",NULL,"444 E Industrial Park Drive, Manchester, NH 03109"," E Industrial Park Drive","444","NH 3109"," Manchester","New Hampshire","USA","(603) 625-5751",NULL,,NULL,NULL
"204","Cummings Moving Systems, LLC","Moving & Relocation Services",NULL,"90053 Prairie Road, Eugene, OR 97402"," Prairie Road","90053","OR 97402"," Eugene","Oregon","USA","(541) 688-5211",NULL,,NULL,NULL
"205","Ramar Transportation & Logistics Group, Inc.","Moving & Relocation Services",NULL,"28-A Thomas Johnson Drive, Frederick, MD 21702","28-A Thomas Johnson Drive","90053","MD 21702"," Frederick","Maryland","USA","(301) 620-1609",NULL,,NULL,NULL
"206","Professional Movers, Inc.","Moving & Relocation Services",NULL,"4022 W Turney Avenue, #A-7, Phoenix, AZ 85019"," W Turney Avenue #A-7","4022","AZ 85019"," Phoenix","Arizona","USA","(602) 352-0091",NULL,,NULL,NULL
"207","Frontier Apartment Movers","Moving & Relocation Services",NULL,"19155 N 19th Avenue, Phoenix, AZ 85027"," N 19th Avenue","19155","AZ 85027"," Phoenix","Arizona","USA","(623) 374-5696?",NULL,,NULL,NULL
"208","Gem Moving & Storage","Moving & Relocation Services",NULL,"7620 S Eisenman Road, Boise, ID 83716"," S Eisenman Road","7620","ID 83716"," Boise","Idaho","USA","(208) 336-5300",NULL,,NULL,NULL
